frame,foot
1560,Left_Foot
1576,Right_Foot
1584,Right_Foot
1598,Right_Foot
1610,Left_Foot
1623,Right_Foot
1633,Right_Foot
1645,Left_Foot
1658,Right_Foot
1672,Right_Foot
1683,Right_Foot
1700,Left_Foot
1710,Right_Foot
1722,Right_Foot
1731,Right_Foot
1745,Left_Foot
1763,Right_Foot
1775,Left_Foot
1792,Right_Foot
1804,Right_Foot
1818,Left_Foot
1830,Right_Foot
1841,Right_Foot
1857,Left_Foot
1868,Right_Foot
1878,Right_Foot
1890,Right_Foot
1904,Left_Foot
1916,Right_Foot
1928,Right_Foot
1941,Left_Foot
1954,Right_Foot
1965,Right_Foot
1975,Right_Foot
1989,Left_Foot
2002,Right_Foot
2014,Right_Foot
2030,Left_Foot
2042,Right_Foot
2052,Right_Foot
2063,Right_Foot
2078,Left_Foot
2090,Right_Foot
2104,Right_Foot
2115,Right_Foot
2129,Left_Foot
2142,Right_Foot
2153,Right_Foot
2165,Right_Foot
2180,Left_Foot
2193,Right_Foot
2207,Right_Foot
2217,Right_Foot
2232,Left_Foot
2242,Right_Foot
2254,Right_Foot
2266,Right_Foot
2280,Left_Foot
2293,Right_Foot
2306,Right_Foot
2323,Left_Foot
2335,Right_Foot
2348,Right_Foot
2358,Right_Foot
2371,Left_Foot
2387,Right_Foot
2401,Right_Foot
2413,Left_Foot
2424,Right_Foot
2438,Right_Foot
2452,Left_Foot
2466,Right_Foot
2477,Right_Foot
2490,Left_Foot
2504,Right_Foot
2515,Right_Foot
2529,Left_Foot
2541,Right_Foot
2552,Right_Foot
2566,Left_Foot
2583,Right_Foot
2594,Left_Foot
2609,Right_Foot
2620,Right_Foot
2631,Right_Foot
2641,Right_Foot
2661,Left_Foot
2673,Right_Foot
2685,Right_Foot
2701,Left_Foot
2714,Right_Foot
2724,Right_Foot
2738,Left_Foot
2750,Right_Foot
2760,Right_Foot
2774,Left_Foot
2786,Right_Foot
2799,Right_Foot
2812,Right_Foot
2826,Left_Foot
2827,Right_Foot
2839,Right_Foot
2850,Right_Foot
2862,Right_Foot
2876,Left_Foot
2889,Right_Foot
2900,Right_Foot
2911,Right_Foot
2924,Left_Foot
2935,Right_Foot
2948,Right_Foot
2960,Right_Foot
2972,Left_Foot
2985,Right_Foot
2996,Right_Foot
3006,Right_Foot
3020,Left_Foot
3032,Right_Foot
3047,Right_Foot
3057,Right_Foot
3069,Left_Foot
3083,Right_Foot
3093,Right_Foot
3106,Right_Foot
3117,Right_Foot
3118,Left_Foot
3129,Right_Foot
3141,Right_Foot
3156,Left_Foot
3168,Right_Foot
3180,Right_Foot
3193,Right_Foot
3206,Left_Foot
3220,Right_Foot
3231,Right_Foot
3243,Left_Foot
3256,Right_Foot
3268,Right_Foot
3281,Right_Foot
3295,Left_Foot
3308,Right_Foot
3321,Right_Foot
3331,Right_Foot
3347,Left_Foot
3358,Right_Foot
3370,Right_Foot
3381,Right_Foot
3395,Left_Foot
3407,Right_Foot
3417,Right_Foot
3432,Left_Foot
3445,Right_Foot
3456,Right_Foot
3468,Right_Foot
3482,Left_Foot
3494,Right_Foot
3506,Right_Foot
3521,Left_Foot
3533,Right_Foot
3543,Right_Foot
3555,Left_Foot
3568,Right_Foot
3582,Right_Foot
3592,Right_Foot
3606,Left_Foot
3619,Right_Foot
3633,Right_Foot
3645,Left_Foot
3660,Right_Foot
3671,Right_Foot
3683,Left_Foot
3696,Right_Foot
3709,Right_Foot
3722,Right_Foot
3737,Left_Foot
3750,Right_Foot
3761,Right_Foot
3773,Left_Foot
3792,Right_Foot
3801,Right_Foot
4065,Right_Foot
4075,Right_Foot
4090,Left_Foot
4103,Right_Foot
4114,Right_Foot
4125,Right_Foot
4136,Left_Foot
4151,Right_Foot
4164,Right_Foot
4176,Left_Foot
4189,Right_Foot
4199,Right_Foot
4216,Left_Foot
4232,Right_Foot
4245,Right_Foot
4257,Left_Foot
4270,Right_Foot
4280,Right_Foot
4292,Right_Foot
4308,Left_Foot
4321,Right_Foot
4333,Right_Foot
4345,Left_Foot
4360,Right_Foot
4373,Right_Foot
4384,Left_Foot
4396,Right_Foot
4408,Right_Foot
4419,Right_Foot
4431,Right_Foot
4451,Right_Foot
4463,Right_Foot
4474,Left_Foot
4491,Right_Foot
4509,Left_Foot
4517,Right_Foot
4526,Right_Foot
4539,Left_Foot
4553,Right_Foot
4564,Right_Foot
4576,Right_Foot
4591,Left_Foot
4603,Right_Foot
4615,Right_Foot
4629,Left_Foot
4644,Right_Foot
4656,Left_Foot
4671,Right_Foot
4706,Left_Foot
4825,Left_Foot
4841,Right_Foot
4857,Right_Foot
4871,Left_Foot
